model,time,delta_time,dataset,encoding,num_slices,num_dimensions,accuracy
DWN,2025-01-27 22:11:10,2.6496,MAGIC Gamma Telescope,Gaussian,,,0.6388
DWN,2025-01-27 22:11:12,3.2764,MAGIC Gamma Telescope,Distributive,,,0.7905
DWN,2025-01-27 22:11:12,3.0054,MAGIC Gamma Telescope,Distributive,,,0.802
DWN,2025-01-27 22:11:13,2.7454,MAGIC Gamma Telescope,Gaussian,,,0.6725
DWN,2025-01-27 22:11:13,3.8006,MAGIC Gamma Telescope,Gaussian,,,0.6313
DWN,2025-01-27 22:11:15,3.1226,MAGIC Gamma Telescope,Distributive,,,0.8158
DWN,2025-01-27 22:11:15,3.2468,MAGIC Gamma Telescope,Distributive,,,0.8017
DWN,2025-01-27 22:11:15,2.7505,MAGIC Gamma Telescope,Gaussian,,,0.6626
DWN,2025-01-27 22:11:17,3.7575,MAGIC Gamma Telescope,Gaussian,,,0.6252
DWN,2025-01-27 22:11:18,2.7526,MAGIC Gamma Telescope,Linear,,,0.5344
DWN,2025-01-27 22:11:18,2.9563,MAGIC Gamma Telescope,Distributive,,,0.8287
DWN,2025-01-27 22:11:18,3.1129,MAGIC Gamma Telescope,Distributive,,,0.7924
DWN,2025-01-27 22:11:20,3.3596,MAGIC Gamma Telescope,Gaussian,,,0.643
DWN,2025-01-27 22:11:21,2.7589,MAGIC Gamma Telescope,Linear,,,0.4658
DWN,2025-01-27 22:11:21,3.0527,MAGIC Gamma Telescope,Distributive,,,0.7889
DWN,2025-01-27 22:11:22,3.1711,MAGIC Gamma Telescope,Distributive,,,0.8055
DWN,2025-01-27 22:11:24,2.7543,MAGIC Gamma Telescope,Linear,,,0.534
DWN,2025-01-27 22:11:24,3.6167,MAGIC Gamma Telescope,Gaussian,,,0.641
DWN,2025-01-27 22:11:24,2.9165,MAGIC Gamma Telescope,Distributive,,,0.8174
DWN,2025-01-27 22:11:25,3.1514,MAGIC Gamma Telescope,Distributive,,,0.7778
DWN,2025-01-27 22:11:27,2.8805,MAGIC Gamma Telescope,Linear,,,0.5342
DWN,2025-01-27 22:11:27,3.0217,MAGIC Gamma Telescope,Distributive,,,0.8047
DWN,2025-01-27 22:11:28,3.8045,MAGIC Gamma Telescope,Gaussian,,,0.6495
DWN,2025-01-27 22:11:28,3.2252,MAGIC Gamma Telescope,Distributive,,,0.7852
DWN,2025-01-27 22:11:29,2.707,MAGIC Gamma Telescope,Linear,,,0.466
DWN,2025-01-27 22:11:30,3.03,MAGIC Gamma Telescope,Distributive,,,0.8154
DWN,2025-01-27 22:11:31,3.1843,MAGIC Gamma Telescope,Linear,,,0.534
DWN,2025-01-27 22:11:31,3.1446,MAGIC Gamma Telescope,Distributive,,,0.7653
DWN,2025-01-27 22:11:32,2.6126,MAGIC Gamma Telescope,Linear,,,0.4658
DWN,2025-01-27 22:11:33,2.9235,MAGIC Gamma Telescope,Distributive,,,0.8251
DWN,2025-01-27 22:11:34,3.2134,MAGIC Gamma Telescope,Distributive,,,0.8244
DWN,2025-01-27 22:11:35,3.6089,MAGIC Gamma Telescope,Linear,,,0.4658
DWN,2025-01-27 22:11:35,2.8191,MAGIC Gamma Telescope,Linear,,,0.5342
DWN,2025-01-27 22:11:36,2.867,MAGIC Gamma Telescope,Gaussian,,,0.7894
DWN,2025-01-27 22:11:38,2.7791,MAGIC Gamma Telescope,Linear,,,0.466
DWN,2025-01-27 22:11:38,3.3366,MAGIC Gamma Telescope,Distributive,,,0.7942
DWN,2025-01-27 22:11:38,3.411,MAGIC Gamma Telescope,Linear,,,0.466
DWN,2025-01-27 22:11:39,3.0964,MAGIC Gamma Telescope,Gaussian,,,0.7564
DWN,2025-01-27 22:11:40,2.6928,MAGIC Gamma Telescope,Linear,,,0.5342
DWN,2025-01-27 22:11:41,3.0826,MAGIC Gamma Telescope,Gaussian,,,0.7583
DWN,2025-01-27 22:11:41,3.382,MAGIC Gamma Telescope,Linear,,,0.4658
DWN,2025-01-27 22:11:42,2.8889,MAGIC Gamma Telescope,Gaussian,,,0.7953
DWN,2025-01-27 22:11:43,2.6584,MAGIC Gamma Telescope,Linear,,,0.5342
DWN,2025-01-27 22:11:44,3.2746,MAGIC Gamma Telescope,Gaussian,,,0.8123
DWN,2025-01-27 22:11:45,3.5561,MAGIC Gamma Telescope,Linear,,,0.5344
DWN,2025-01-27 22:11:46,3.3757,MAGIC Gamma Telescope,Gaussian,,,0.7967
DWN,2025-01-27 22:11:46,3.2104,MAGIC Gamma Telescope,Scatter Code,10.0,50.0,0.5342
DWN,2025-01-27 22:11:48,3.5196,MAGIC Gamma Telescope,Gaussian,,,0.7553
DWN,2025-01-27 22:11:49,3.3196,MAGIC Gamma Telescope,Gaussian,,,0.8099
DWN,2025-01-27 22:11:49,3.9888,MAGIC Gamma Telescope,Linear,,,0.4713
